temporada_alta,dif_min,atraso_15,periodo_dia
True,3,False,noche
True,9,False,noche
True,9,False,noche
True,3,False,noche
True,-2,False,noche
True,34,True,noche
True,-5,False,noche
True,-5,False,noche
True,40,True,noche
True,69,True,noche
True,-9,False,noche
True,14,False,noche
True,-7,False,noche
True,-4,False,noche
True,-11,False,noche
True,-9,False,noche
True,-9,False,noche
True,-12,False,noche
True,15,False,noche
True,-2,False,noche
True,2,False,noche
True,8,False,noche
True,-5,False,noche
True,52,True,noche
True,-5,False,noche
True,0,False,noche
True,26,True,noche
True,-3,False,noche
True,-5,False,noche
True,2,False,noche
True,2,False,noche
True,-7,False,noche
True,-1,False,noche
True,5,False,noche
True,-4,False,noche
True,1,False,noche
True,-5,False,noche
True,3,False,noche
True,-2,False,noche
True,-4,False,noche
True,-6,False,noche
True,4,False,noche
True,-4,False,noche
True,-4,False,noche
True,-9,False,noche
True,-10,False,noche
True,0,False,noche
True,-2,False,noche
True,1,False,noche
True,-4,False,noche
True,10,False,noche
True,20,True,noche
True,11,False,noche
True,24,True,noche
True,-5,False,noche
True,-7,False,noche
True,14,False,noche
True,5,False,noche
True,0,False,noche
True,25,True,noche
True,1,False,noche
True,0,False,noche
True,-4,False,noche
True,13,False,noche
True,-3,False,noche
True,2,False,noche
True,-5,False,noche
True,0,False,noche
True,-2,False,noche
True,3,False,noche
True,-9,False,noche
True,5,False,noche
True,-3,False,noche
True,-4,False,noche
True,-10,False,noche
True,-9,False,noche
True,62,True,noche
True,2,False,noche
True,-8,False,noche
True,19,True,tarde
True,60,True,tarde
True,17,True,tarde
True,26,True,tarde
True,14,False,tarde
True,67,True,tarde
True,84,True,tarde
True,63,True,tarde
True,97,True,tarde
True,17,True,tarde
True,90,True,tarde
True,130,True,tarde
True,24,True,tarde
True,77,True,tarde
True,32,True,tarde
True,39,True,tarde
True,48,True,tarde
True,6,False,tarde
True,2,False,tarde
True,28,True,tarde
True,11,False,tarde
True,33,True,tarde
True,69,True,tarde
True,20,True,tarde
True,3,False,tarde
True,22,True,tarde
True,21,True,tarde
True,22,True,tarde
True,27,True,tarde
True,6,False,tarde
True,20,True,noche
True,17,True,noche
True,19,True,noche
True,47,True,noche
True,5,False,noche
True,63,True,noche
True,55,True,noche
True,53,True,noche
True,105,True,noche
True,20,True,noche
True,72,True,noche
True,26,True,noche
True,99,True,noche
True,52,True,noche
True,33,True,noche
True,147,True,noche
True,18,True,noche
True,25,True,noche
True,5,False,noche
True,21,True,noche
True,13,False,noche
True,21,True,noche
True,11,False,noche
True,-4,False,noche
True,-1,False,noche
